timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677729006855,644,Get_main,200,OK,TestAPI 1-1,text,true,,84805,117,1,1,http://airsense.vn/map,467,0,127
1677729007860,316,Get_main,200,OK,TestAPI 1-2,text,true,,84805,117,1,1,http://airsense.vn/map,151,0,27
1677729008857,416,Get_main,200,OK,TestAPI 1-3,text,true,,84805,117,1,1,http://airsense.vn/map,257,0,28
1677729009854,420,Get_main,200,OK,TestAPI 1-4,text,true,,84805,117,1,1,http://airsense.vn/map,250,0,27
1677729010856,343,Get_main,200,OK,TestAPI 1-5,text,true,,84805,117,1,1,http://airsense.vn/map,232,0,27
1677729011853,347,Get_main,200,OK,TestAPI 1-6,text,true,,84805,117,1,1,http://airsense.vn/map,238,0,26
1677729012854,418,Get_main,200,OK,TestAPI 1-7,text,true,,84805,117,1,1,http://airsense.vn/map,245,0,25
1677729013854,246,Get_main,200,OK,TestAPI 1-8,text,true,,84805,117,1,1,http://airsense.vn/map,137,0,26
1677729014854,318,Get_main,200,OK,TestAPI 1-9,text,true,,84805,117,1,1,http://airsense.vn/map,161,0,26
1677729015853,152,Get_main,200,OK,TestAPI 1-10,text,true,,84805,117,1,1,http://airsense.vn/map,74,0,27
1677729016856,317,Get_main,200,OK,TestAPI 1-11,text,true,,84805,117,1,1,http://airsense.vn/map,141,0,27
1677729017856,317,Get_main,200,OK,TestAPI 1-12,text,true,,84805,117,1,1,http://airsense.vn/map,152,0,26
1677729018859,413,Get_main,200,OK,TestAPI 1-13,text,true,,84805,117,1,1,http://airsense.vn/map,243,0,25
1677729019856,316,Get_main,200,OK,TestAPI 1-14,text,true,,84805,117,1,1,http://airsense.vn/map,141,0,27
1677729020857,274,Get_main,200,OK,TestAPI 1-15,text,true,,84805,117,1,1,http://airsense.vn/map,152,0,27
1677729021854,347,Get_main,200,OK,TestAPI 1-16,text,true,,84805,117,1,1,http://airsense.vn/map,230,0,26
1677729022857,343,Get_main,200,OK,TestAPI 1-17,text,true,,84805,117,1,1,http://airsense.vn/map,230,0,27
1677729023856,345,Get_main,200,OK,TestAPI 1-18,text,true,,84805,117,1,1,http://airsense.vn/map,239,0,26
1677729024856,318,Get_main,200,OK,TestAPI 1-19,text,true,,84805,117,1,1,http://airsense.vn/map,145,0,27
1677729025856,160,Get_main,200,OK,TestAPI 1-20,text,true,,84805,117,1,1,http://airsense.vn/map,79,0,26
1677729026863,150,Get_main,200,OK,TestAPI 1-21,text,true,,84805,117,1,1,http://airsense.vn/map,74,0,26
